Title,Post ID,URL,Price,Description,Days Posted,Location
"Waxahachie,  Multiplex for Sale - 4 unit (Waxahachie)",7549545325,https://dallas.craigslist.org/dal/reb/7549545325.html,"$350,000 ","Four individual houses on one parcel, all with current month to month tenants. Each house rents for $800 per month. Each house is a two bedroom, one bath. Three of the units have new roofs replaced in 2021. All are being sold together. Addresses are 613, 615, 617 Jefferson and 112 Aiken, but all are being sold collectively as 613 Jefferson. All are individually metered. Property is being sold as is.TO SEE PHOTOS AND DETAILS OF THIS PROPERTY VISIThttp://www.dfwpowersearch.com/homes/613-E-Jefferson-Street/Waxahachie/TX/75165/131399046/?req=1&utm_source=CraigsList&utm_medium=referral&utm_campaign=613%2bE%2bJefferson%2bStreet Listing provided courtesy of Exp Realty, Llc",2 months ago,613 E Jefferson Street
Bring your family home to this Condo in Austin!! 💜,7561105355,https://austin.craigslist.org/reb/7561105355.html,"$360,000 ","High end finishes abound with new floors throughout, new countertops, bathrooms and much more. Here you'll find the convenience of Central Austin living without the hassle of a large apartment complex.    Text 5992 to  show contact info  for pictures & more info! You can also message us to get a free customized search for your next property or home. We have lenders that can qualify you in minutes!",about a month ago,N/A
"14 UNIT MULTI-FAMILY COMPLEX BY THE PEARL!! (SAN ANTONIO,TX)",7568260683,https://sanantonio.craigslist.org/reo/7568260683.html,"$5,000 ",*PROPERTY SITS NEAR THE HOTTEST SPOT OF SAN ANTONIO A MILE AWAY FROM (THE PEARL). **BEST OF THE BEST RENTAL ZIP DOE IN THE CITY!!! **WALKING DISTANCE TO ST.MARY STRIP & QUICK BIKE RIDE TO DOWNTOWN & MUCH MORE. - ZONING MF-33  🏡22 BED / 14 BATH 📍78212 💰UNDER $1.7M  Contact me for access and more information!!  ***CALL OR MESSAGE ME:  show contact info *** HABLO ESPANOL 🗣️ LREA:794840 NO WHOLESALERS 🚫 / END-BUYER ONLY✅,15 days ago,N/A
"14 UNIT MULTI-FAMILY COMPLEX BY THE PEARL!! (SAN ANTONIO, TX)",7568259435,https://sanantonio.craigslist.org/reb/7568259435.html,"$5,000 ",*PROPERTY SITS NEAR THE HOTTEST SPOT OF SAN ANTONIO A MILE AWAY FROM (THE PEARL). **BEST OF THE BEST RENTAL ZIP DOE IN THE CITY!!! **WALKING DISTANCE TO ST.MARY STRIP & QUICK BIKE RIDE TO DOWNTOWN & MUCH MORE. - ZONING MF-33  🏡22 BED / 14 BATH  📍78212 💰UNDER $1.7M  Contact me for access and more information!!  ***CALL OR MESSAGE ME:  show contact info  *** HABLO ESPANOL 🗣️ LREA:794840 NO WHOLESALERS 🚫 / END-BUYER ONLY✅,15 days ago,N/A
67 UNIT COMPLEX (Corpus Christi),7568010577,https://sanantonio.craigslist.org/reb/7568010577.html,"$2,900,000 ","HIS IS AN INVESTMENT OPPORTUNITY. I AM NOT LOOKING FOR TENANTS. THIS IS FULLY OCCUPIED.  9 total structures; 67 total units. 78408 & 78401 ZIP. Within very close proximity to the beach. These properties are already cash flowing and do not need repair. Selling for under 3 million.  NOI FOR 2021 APPROX ~ $324K ESTIMATE NOI FOR 2022 (JANUARY-SEPTEMBER) APPROX ~ $242K SERIOUS INQUIRIES ONLY THIS MUST BE A CASH OR HARD MONEY LOAN PURCHASE  MUST BE ABLE TO PROVIDE A CERTIFIED PROOF OF FUNDS TO RECIEVE THE FOLLOWING INFO: Rent rolls, financial breakdowns, utility breakdown, additional pictures and a copy of the leases. I AM LOOKING FOR AN END BUYER; THIS PROPERTY IS NOT ASSIGNABLE",16 days ago,N/A
67 UNITS COMPLEX (Corpus Christi),7568008347,https://corpuschristi.craigslist.org/reb/7568008347.html,"$2,900,000 ","HIS IS AN INVESTMENT OPPORTUNITY. I AM NOT LOOKING FOR TENANTS. THIS IS FULLY OCCUPIED.  9 total structures; 67 total units. 78408 & 78401 ZIP. Within very close proximity to the beach. These properties are already cash flowing and do not need repair. Selling for under 3 million.  NOI FOR 2021 APPROX ~ $324K ESTIMATE NOI FOR 2022 (JANUARY-SEPTEMBER) APPROX ~ $242K SERIOUS INQUIRIES ONLY THIS MUST BE A CASH OR HARD MONEY LOAN PURCHASE  MUST BE ABLE TO PROVIDE A CERTIFIED PROOF OF FUNDS TO RECIEVE THE FOLLOWING INFO: Rent rolls, financial breakdowns, utility breakdown, additional pictures and a copy of the leases. I AM LOOKING FOR AN END BUYER; THIS PROPERTY IS NOT ASSIGNABLE",16 days ago,N/A
"off market 10 unit complex (Arlington, TX)",7563772149,https://dallas.craigslist.org/dal/reb/7563772149.html,N/A,"ff market 10 unit complex that is walking distance from UTA passed final inspections contains two 2-car garage  reach out for more details and price   JOIN MY BUYER'S LIST FOR OFF MARKET DEALS  *** INVESTORS ONLY ***  20+ Off Market, distressed properties EACH week in Tarrant County. Sold As-Is Condition & Close within 2 weeks... I have a property for EVERY Investor!  Call/Text me for more info  show contact info   Landon Beach New Western  Real Estate Investment Agent   #769236 | Brokerage # 607371 1001 S. Main Street, Suite 251, Fort Worth, TX, 76104 show contact info   rental, off market, duplex, property, investment, as-is, flip, landlord, Arlington, Grand Prairie, DFW, Dallas, Fort Worth, Tarrant County, White Settlement, Mid-Cities, Haltom City, Hurst, Saginaw, Forest Hill, North Richland Hills, Lake Worth, Weatherford, Deals, rehab, Waco, Forest Hill, El Paso, Lubbock, Wichita Fall",27 days ago,N/A
Condo for sale - Parkridge Dr - Dallas (Dallas),7570051204,https://dallas.craigslist.org/dal/reb/7570051204.html,"$175,000 ","modeled 2 bed, 2 bathrooms condo. Investor welcome, perfect for AirBNB or to live in. Everything is new inside, high-end finishes throughout, new beautiful dark grayish hardwood floor, new texture and paint, brand new kitchen, new bathrooms, new designer fixtures, new faucets, vanities, new stainless-steel appliances, new granite counters, huge kitchen island, waterfall granite, small fenced BACKYARD, 2 assigned PARKING. Both bedrooms are large with large walk in closets, 7 closets in the condo, build in desk. Full size washer and dryer hook-up. Open kitchen to dining and family room, lots of windows, new window blinds and new door knobs and new closet doors, Bluetooth speakers, shower jets and rain fall shower in both bathrooms. Centrally located, Close to 635 and 35. Min to Addison, Framers Branch, Irving and Love Field. Virtual TOUR available above. Complex upgrading Fences, parking lot and new mail boxes.  HOA $270/m",10 days ago,3516 near Parkridge
22 room hotel in Humble Texas for sale CE Real estate (Humble),7568717851,https://houston.craigslist.org/reo/7568717851.html,"$2,000,000 ","ver Oaks Equity Partners, as exclusive advisor and agent, is pleased to present the Fuselodge in  Humble, Texas. The offering enables an investor to acquire a 22-room hotel built in 2008 situated on  2.03 acres in a high-growth submarket of the Houston MSA. The property is located just west of US-59  and less than 3 miles from Houston George Bush Intercontinental Airport (IAH). The property is being  offered free and clear of any management encumbrances. Fuselodge utilizes a “crash pad” business model. Guests pay on a month-to-month basis. Rates vary if  the room is shared or private. This hotel caters directly to airline workers given the proximity to IAH.  The hotel has an agreement with Mesa Airlines to offer lodging to its employees. Per Owner, occupancy  has been around 60 percent after most COVID restrictions were lifted. The hotel is close to numerous retail, dining, and entertainment options, which is a positive attribute for  both business and transient guests. Corporate demand generators in the area include International Tech  Park, Greens Road Business Park, High Ridge Business Park, George Bush Intercontinental airport,  Memorial Herman Hospital and Lone Star College North. Leisure demand generators in the area  include the Jesse H. Jones Park & Nature Center, Tour 18 Golf Course, Lyons Park and Sports Complex  and the Woodlands Mall.",14 days ago,9028 Humble Westfield RD Rd
"Off market Student rental property walking distance to UTA (Arlington, TX)",7562617060,https://dallas.craigslist.org/dal/reb/7562617060.html,N/A,"ff market student rental property walking distance to the UTA campus 10 unit complex - passed final inspections  vacant property with potential rents of 12,000/mo  Reach out for more details  JOIN MY BUYER'S LIST FOR OFF MARKET DEALS  *** INVESTORS ONLY ***  20+ Off Market, distressed properties EACH week in Tarrant County. Sold As-Is Condition & Close within 2 weeks... I have a property for EVERY Investor!  Call/Text me for more info  show contact info   Landon Beach New Western  Real Estate Investment Agent   #769236 | Brokerage # 607371 1001 S. Main Street, Suite 251, Fort Worth, TX, 76104 show contact info   rental, off market, duplex, property, investment, as-is, flip, landlord, Arlington, Grand Prairie, DFW, Dallas, Fort Worth, Tarrant County, White Settlement, Mid-Cities, Haltom City, Hurst, Saginaw, Forest Hill, North Richland Hills, Lake Worth, Weatherford, Deals, rehab, Waco, Forest Hill, El Paso, Lubbock, Wichita Fall",about a month ago,N/A
"Suite B 2,752 Sq Ft (2123 Southmore Ave, Pasadena, TX 77502)",7562286497,https://houston.craigslist.org/reb/7562286497.html,"$3,716 ","Great Location.  This is one of Pasadena’s business intersections with lots of traffic.  2123 Southmore at the corner of Burke.  Suite B 2,752 Sq Ft $2,752.00 per month plus $964.00 NNN for a total   of $3716.00 per month.  This unit can combine with the property next to it making it huge 7,752 Sq Ft unit. One Story Shopping Center located at one of the busiest areas in Pasadena.  All kinds of business, Schools, Apartments complexes and lots of settle neighborhoods provide plenty of foot traffic to the site. This is a Large Space Great for large Retail, an Event Center a Church Space, or a School.   Attached you will find the floor plan of the unit.  This unit has access to an exterior Fence Area where you can drive inn and store equipment.   Central A/C and Heath, Sprinkle system, Lots of Visibility, Easy Access to 225 and Houston Downtown Area Advertising on the front of the unit and sign can also be installed on the Large Pilon Sign on the Exterior of the Shopping center. For more information Call us Juan M Ramos  Office  show contact info  Cell      show contact inf",about a month ago,"2123 Southmore Ave, Pasadena, TX 77502"
"2123 Southmore at the corner of Burke. (2123 Southmore Ave, Pasadena, TX 77502)",7562273956,https://houston.craigslist.org/reb/7562273956.html,"$6,750 ","Great Location.  This is one of Pasadena’s business intersections with lots of traffic.  2123 Southmore at the corner of Burke.  5000 Sq Ft $5,000 per month plus $1750 NNN for a total   of $6,750.00 per month.  This unit can combine with the property next to it making it huge 7,752 Sq Ft unit. One Story Shopping Center located at one of the bussies areas in Pasadena.  All kinds of business, Schools, Apartments complexes and lots of settle neighborhoods provide plenty of foot traffic to the site. This is a Large Space Great for large Retail, an Event Center a Church Space, or a School.   Attached you will find the floor plan of the unit.  This unit has access to an exterior Fence Area where you can drive inn and store equipment.   Central A/C and Heath, Sprinkle system, Lots of Visibility, Easy Access to 225 and Houston Downtown Area Advertising on the front of the unit and sign can also be installed on the Large Pilon Sign on the Exterior of the Shopping center. For more information Call us  Juan M Ramos  Office  show contact info  Cell      show contact inf",about a month ago,"2123 Southmore Ave, Pasadena, TX 77502"
"Apartments/Houses Available 1, 2, and 3 bedrooms for Rent/ Lease (Helotes,Alamo Ranch/, Stone Oak, La Cantera, UTSA, Sea world)",7559260414,https://sanantonio.craigslist.org/reb/7559260414.html,N/A,"Apartments Available 1, 2, and 3 bedrooms for Rent/ Lease  For a free, no obligation, hassle-free consultation, please call  laundry setting/ amenities is subject to Apartment complex/unit  parking is subject to apartment complex/unit settup.  Above referenced neighborhood & city (areas)described is subject to availability.   Rosendo Flores Texas Licensed Broker  Se HABLA ESPANOL  show contact info  wk cell",about a month ago,N/A
Lease Purchase Option this Fabulous Home 4/3/2 (Preston Highlands),7560643147,https://dallas.craigslist.org/ndf/reb/7560643147.html,"$3,800 ","w option to purchase.Rent reduced to 3800! $500 per month of rent will be credited toward closing. 2005 Home. AC just installed and throwing ice cubes! Elegant executive home boasts four bedroom two and a half bath two car garage. Beautiful walking bike trails, nature garden, picnic areas, pond. Home features a gas start fireplace in the living, room, high ceilings, large kitchen with stainless steel gas range, double oven, large fridge, granite countertops, island, eating area and separate dining room. Master down with double sinks, separate shower, jetted tub and walk-in closet. Three bedrooms up with huge game room. Interior painted a stunning White Flour! Large fenced yard includes automatic rolling gate, covered porch and grassy area. Won't last long! Nice enjoyable home in well desired Preston Highlands. Close to all the action... PGA National, UNT University, Dallas Cowboys training camp, Rogers Elementary. Walking distance to community pool & playground and Warren Sports Complex.",about a month ago,8746 Fisher near Preston
Hot rehabber property for investor (Austin TX),7568479320,https://austin.craigslist.org/reo/7568479320.html,"$360,000 ",property is for a rehabber who will like to fix and add to their portfolio. It requires basic repairs mostly cosmetic. Please wholesaler do not contact. check out link for details.  Text for more information   https://drive.google.com/drive/folders/1XHei1AFf5qb-6L8pUtcrLO,15 days ago,Canus
INVESTOR Friendly Townhouse in Austin!!,7572803826,https://austin.craigslist.org/reb/7572803826.html,"$450,000 ","property is INVESTOR friendly! The property's features include recent cabinets, granite counters, wood look tile floors, stainless steel stove and dishwasher, interior paint, and more. Private fenced-in covered patio/yard area with an attached one-car garage and one reserved parking space. The exterior of the building and roof are maintained by the HOA.   Text 6861 to  show contact info  for pictures & info!  You can also message us to get a free customized search for your next home. We have lenders that can qualify you today for less than market interest rate! Low and Zero down loans available!",about 18 hours ago,N/A
Investor Opportunity (Wooten Park),7568456705,https://austin.craigslist.org/reo/7568456705.html,"$495,000 ","Assignment of contract for a remodel project in Wooten Park. Property will have charm with some upgrades and some remodeling. Good bones and on an oversized lot with gorgeous, mature trees! Property can be your own to live in, or AirBNB, you decide. Assignor can help with Rehab financing if needed. Contact for more information. Won't last long.",15 days ago,Polar Drive near Villanova Drive
SFR Cosmetic updates needed (Bryan),7569005147,https://austin.craigslist.org/reb/7569005147.html,"$140,000 ","3/2/1 in Bryan, TX! This property needs some cosmetic updating to hit the top of the market. It is vacant and ready for an investor to come in and make it a rental or flip.  Contact me today for more information.   If you're a Real Estate Investor wanting more properties that you won't see on the MLS then give me a call! I share over 50 properties a month directly to your email with properties that have instant equity available.    David Puryear Licensed Real Estate Agent show contact info   License # TX 714591 | Brokerage # 9003665  New Western 2201 Donley Dr, Suite 150 Austin, TX 78758  . . . . . . . . . Moving , Moved, Probate, Inherited, Passed Away, Deceased, Executor, Heirs, Death, Code Violation, Code Enforcement, Condemned, Condemnation, Mold, Tear Down, Fire Damaged, Abandoned, Very Motivated, Distressed, Lost Job, Divorce,Bankruptcy, Fire Sale, Health Problems, Health Issues, Must Sell, Liquidation, TLC, Short Sale, Vacant, Motivated, Divorce, Fixer, Fixer-upper, Must sell, Make offer ,Estate, Absentee, Transfer, Transferred, Vacant, Handyman, Bankrupt, Retire, Retired, Retiring, Investor, Investment, Deal, Probate,inherited foreclosure ,short sale, preforeclosure, pre-foreclosure, pre foreclosure, estate, bring, all offers, vandalized, uninsured, junker, must sell , investor special, special warranty deed, quit claim deed ,heir ,heirs ,TLC ,motivated ,fixer ,fixer upper, fixer-upper, deferred maintenance, repairs, as-is, as is, relocation, rented, tenant, do not disturb tenant, owner will carry, owner will carry 2nd , owner finance , owner will finance , personal rep ,personal representative, estate, trustee, basement issues, basement repairs, basement problems ,foundation issues ,foundation repairs ,foundation problems, structural issues, structural repairs, structural problems, no FHA, lease option, engineer report, price change, sell house fast, sell my house fast, sell a house fast, sell your house fast, sell home fast, need to sell house fast, need to sell my house fast, we buy houses, we buy homes, I buy houses, I buy homes, cash home buyers, cash house buyers, fast home buyers, fast house buyers, how to sell house fast, sell house quickly, sell house for cash, buy my house, buy my house fast, sell without a Realtor, sell house without an agent, sell house with tenant, sell house without repairs, sell vacant house, contractors special, handyman special",13 days ago,N/A
Austin House for Sale by Owner - 3/2 + Garage (Northwest Austin),7572476416,https://austin.craigslist.org/reo/7572476416.html,"$428,000 ","Very convenient location.  Homebuilder: JW Smith  One story 3 bedroom 2 bath house for sale by owner ( FSBO) on a very low traffic street in the interior of a family friendly neighborhood. The location is outstanding for a starter home or long-term rental investment property within both Williamson County and Austin, Texas. No HOA (homeowners association) dues. Near the new Apple Campus. And near ""The Domain,"" which is a major new development sometimes called Austin's second downtown and is full of major employers, luxury retail stores, fancy restaurants and bars, and numerous high-rise office buildings.  1697 square feet. Single large living area. One dining area. No wasted space.  No interior or exterior steps. Great potential for ""aging in place"" or disabled / handicap accessible home, if gently remodeled. The driveway is level / flat, too, which makes getting in and out of the vehicle easier.  Big 2 car garage. Room for 2 cars and a motorcycle, plus other items.  Generous shade trees and nice yard with healthy lawn. Covered back patio in back yard.  Walk to all 3 schools: Westwood High School, Grisham Middle School, and Anderson Mill Elementary School. Your children will not have to ride a bus, nor wait at a bus stop. No need for a ride home from extracurricular activities.  Only 5 miles to the Apple Campus in Northwest Austin. Easy drive by taking Anderson Mill Road to Parmer Lane. No need to even get on freeway. The new Apple Campus in northwest Austin is never going to close down and is expected to increase in size, so the property will always hold a good resale value in case you ever have to re-sell the property later. If you are an investor, a good rental rate should always be possible because of the proximity to major employers and good schools.  All types of shopping and restaurants within 2 or 3 miles of your new home.  Neighborhood has swimming pools (heated in winter), walking trails, a dog park, and multiple parks with all kinds of ball fields and sports courts.  No owner financing, so you will need to be able to get a loan or pay cash.  The price is $428,000. Not for rent, only for sale.  I am the owner. I am not a real estate investor nor a wholesaler nor a realtor. E-mail me and tell me your story so that I will know that you are a real person who can view the property in person, and not a long-distance scammer. Yes, if this listing is still showing, the house is still available for sale. NO WHOLESALERS, PLEASE.",a day ago,Anderson Mill Road near Highway 183
67 UNITS - INVESTMENT PROPERTY - CASH BUYERS ONLY! (Corpus Christi),7567930590,https://austin.craigslist.org/reb/7567930590.html,N/A,"OFF MARKET 67 Units in Corpus Christi!!! These Units have Great Net Operating Income and we have Financials, Pictures, Leases, and Much more! This can be a Great return for your Investment and somewhere that you can park your money. Corpus has been Increasing in Value and these Units will only keep increasing in Value. There are 9 STRUCTURES( 7 on OMAHA DR and 2 on KING ST). Call your New Western Agent today to get more info on these 67 Units.  Call NATALIE at  show contact info  to schedule a walk through. CASH BUYERS | HARD MONEY | 1031 EXCHANGE LREA 743565  New Western *** Sign up for my free list *** REAL ESTATE INVESTORS OR CASH BUYERS ONLY Click this link and receive over 15 investment properties per week. https://www.newwestern.com/agent/natalie-godoy/",16 days ago,N/A
New listing in 78702,7570944026,https://austin.craigslist.org/reb/7570944026.html,N/A,"NEW DEAL ALERT!!!! New listing in Kyle, Texas! With a great curb appeal and desirable location, this cheap property is a great opportunity for an investor to buy and hold! Beds: 3 Baths: 2 PP: $252K  CASH/HARD MONEY/LINE OF CREDIT Mitchell Kennedy –  show contact info  |  License #795319 | Brokerage #9003665 https://www.newwestern.com/agent/mitchell-kennedy/ New Western – 2201 Donley Drive Austin, TX 78758",7 days ago,N/A
Quick Flip! (Cosmetic Updates),7557741511,https://austin.craigslist.org/reb/7557741511.html,"$249,000 ","ash or Hard Money ONLY Value Add for Investors     We have a quick flip opportunity in Manor, TX that's great for both a new or seasoned investor. We are the cheapest in this pocket and we are priced well below market value. This property only needs a little TLC to get back to the top of the market in this area.     Contact your New Western Agent today!   David Puryear Licensed Real Estate Agent show contact info   https://www.newwestern.com/agent/david-puryear/ License # TX 714591 | Brokerage # 9003665  New Western 2201 Donley Dr, Suite 150 Austin, TX 78758     Moving , Moved, Probate, Inherited, Passed Away, Deceased, Executor, Heirs, Death, Code Violation, Code Enforcement, Condemned, Condemnation, Mold, Tear Down, Fire Damaged, Abandoned, Very Motivated, Distressed, Lost Job, Divorce,Bankruptcy, Fire Sale, Health Problems, Health Issues, Must Sell, Liquidation, TLC, Short Sale, Vacant, Motivated, Divorce, Fixer, Fixer-upper, Must sell, Make offer ,Estate, Absentee, Transfer, Transferred, Vacant, Handyman, Bankrupt, Retire, Retired, Retiring, Investor, Investment, Deal, Probate,inherited foreclosure ,short sale, preforeclosure, pre-foreclosure, pre foreclosure, estate, bring, all offers, vandalized, uninsured, junker, must sell , investor special, special warranty deed, quit claim deed ,heir ,heirs ,TLC ,motivated ,fixer ,fixer upper, fixer-upper, deferred maintenance, repairs, as-is, as is, relocation, rented, tenant, do not disturb tenant, owner will carry, owner will carry 2nd , owner finance , owner will finance , personal rep ,personal representative, estate, trustee, basement issues, basement repairs, basement problems ,foundation issues ,foundation repairs ,foundation problems, structural issues, structural repairs, structural problems, no FHA, lease option, engineer report, price change, sell house fast, sell my house fast, sell a house fast, sell your house fast, sell home fast, need to sell house fast, need to sell my house fast, we buy houses, we buy homes, I buy houses, I buy homes, cash home buyers, cash house buyers, fast home buyers, fast house buyers, how to sell house fast, sell house quickly, sell house for cash, buy my house, buy my house fast, sell without a Realtor, sell house without an agent, sell house with tenant, sell house without repairs, sell vacant house, contractors special, handyman special",about a month ago,N/A
Morris Williams 3/2,7559902263,https://austin.craigslist.org/reb/7559902263.html,"$330,000 ","ash or Hard Money ONLY   Solid property in 78723 just down the road from Morris Williams golf course, 183 Toll road, and Mueller. The property needs simple cosmetics throughout to bring top-of-the-market rents or an easy resell. Call me today for all the details and to reserve a spot at the showing....this is one not to be missed!   David Puryear Licensed Real Estate Agent show contact info   https://www.newwestern.com/agent/david-puryear/ License # TX 714591 | Brokerage # 9003665  New Western 2201 Donley Dr, Suite 150 Austin, TX 78758     Moving , Moved, Probate, Inherited, Passed Away, Deceased, Executor, Heirs, Death, Code Violation, Code Enforcement, Condemned, Condemnation, Mold, Tear Down, Fire Damaged, Abandoned, Very Motivated, Distressed, Lost Job, Divorce,Bankruptcy, Fire Sale, Health Problems, Health Issues, Must Sell, Liquidation, TLC, Short Sale, Vacant, Motivated, Divorce, Fixer, Fixer-upper, Must sell, Make offer ,Estate, Absentee, Transfer, Transferred, Vacant, Handyman, Bankrupt, Retire, Retired, Retiring, Investor, Investment, Deal, Probate,inherited foreclosure ,short sale, preforeclosure, pre-foreclosure, pre foreclosure, estate, bring, all offers, vandalized, uninsured, junker, must sell , investor special, special warranty deed, quit claim deed ,heir ,heirs ,TLC ,motivated ,fixer ,fixer upper, fixer-upper, deferred maintenance, repairs, as-is, as is, relocation, rented, tenant, do not disturb tenant, owner will carry, owner will carry 2nd , owner finance , owner will finance , personal rep ,personal representative, estate, trustee, basement issues, basement repairs, basement problems ,foundation issues ,foundation repairs ,foundation problems, structural issues, structural repairs, structural problems, no FHA, lease option, engineer report, price change, sell house fast, sell my house fast, sell a house fast, sell your house fast, sell home fast, need to sell house fast, need to sell my house fast, we buy houses, we buy homes, I buy houses, I buy homes, cash home buyers, cash house buyers, fast home buyers, fast house buyers, how to sell house fast, sell house quickly, sell house for cash, buy my house, buy my house fast, sell without a Realtor, sell house without an agent, sell house with tenant, sell house without repairs, sell vacant house, contractors special, handyman special",about a month ago,N/A
**NORTH AUSTIN INVESTOR SPECIAL** (Anderson Mills),7562267596,https://austin.craigslist.org/reb/7562267596.html,"$299,999 ","I have a great property in Anderson Mills in North Austin for $300K! This house house has great bones and would make a great cosmetic flip. This deal won't last long so call ASAP!  Specifications: Bed: 3 Baths: 2  Garage: Converted Year Build: 1975 Purchase Price: $299,999   show contact info  License #791718  |  Brokerage # 9003665  https://www.newwestern.com/agent/allyson-doyle-ragain/  New Western 2201 Donley Drive, Suite 150 Austin, TX 78758 show contact inf",about a month ago,N/A
Waterfront vacant acre lot for sale,7565623393,https://austin.craigslist.org/reo/7565623393.html,N/A,"I have a beautiful WATERFRONT Spicewood, TX lot. Our property is located directly on Lake Travis, and is the perfect opportunity for an investor looking to build a beautiful lake house. No restrictions against short term rentals and NO HOA. The majority of the lot is flat and there is electrical at the street.",22 days ago,N/A
Owner Finance Available Fixer Upper (Taylor),7565341507,https://austin.craigslist.org/reb/7565341507.html,"$269,900 ","3 bed 2 bath home needs a lot of work, but would be great for someone looking to put in a little sweat equity, and be near Austin. Don't miss an opportunity to get into this up and coming area at a great price point! Home needs foundation work and an overhaul, but is listed to reflect such.  Home will be sold as-is. Ask about owner finance options; dueno a dueno, cash and investors welcome.  You can stop paying rent, because seller financing is available! Dueno a dueno.  It's simple, we own the house outright and will act as the bank for you; nothing tricky. It's hard to get a house in this location for this price. This will be an ""as-is"" sale. No prepayment penalty.  This is a true owner finance. $10k down payment with 10% interest on the remaining note. Payment includes the taxes and insurance, which will be escrowed into the payment. You will bring your down payment, and prorated taxes and insurance for the year to closing (which can vary, based on property taxes and insurance selected).  If you have been looking to purchase a house but can’t qualify for a bank loan we may be able to help. This house is for sale and we can Owner Finance with low credit scores. The deed would be transferred into your name which is much better than a rent-to-own. You can also owner finance now and then refinance through a bank as soon as you qualify with the bank without any prepayment penalty. In the meantime at least you are not throwing money away.  *Generally need income about 2.5- 3x the monthly payment but need application to know for sure. *Good credit is not required. *Pay off quicker if you like. *Refinance any time. *ITIN accepted.   WHAT IS OWNER FINANCING: *Seller financing is a lot like rent-to-own except for you immediately own the house and the deed is transferred to you. Rent-to-own means you usually have 3 years to buy it or you will forfeit your interest in the property. Owner financing, compared to rent-to-own, comes with rights that make it a lot harder to get kicked out of your house if you are in default as well. You can also potentially write off mortgage interest and property tax on your income tax return.",23 days ago,N/A
"Where the heart is - Home in Manor. 3 Beds, 2 Baths",7568024186,https://austin.craigslist.org/reb/7568024186.html,"$327,000 ","Nice 3 bedroom, 2 full bath, 2 car garage single story home in Presidential Meadows in Manor. Has a great location to shopping, schools, and companies Samsung, Amazon, the Tesla mega plant, Applied Materials and close to major thoroughfares. Home features spacious kitchen open to family room with breakfast bar for your entertaining family and friends. Lots of natural lighting throughout the home with vaulted ceilings. Ceiling fans also in all bedrooms including family room. Walk in closets, garden tub and separate shower in owners suite. Home has been freshly painted completely on exterior and the interior done throughout. Recent roof and privacy fence installed in Oct 2022. Backyard has been seeded with new grass and will look spectacular in the spring.  Automatic garage door opener, cover patio and front porch. Community pool and parks are awesome with sport courts. This is a must see for you first time home buyers and investors.  *** Send Text Message MARIAM to  show contact info  For More Details & Photos Of This Property***Brought to you by Maria Martinez at JPAR® - Au",16 days ago,N/A
Vacant Lot (Tahitian Village),7568964282,https://austin.craigslist.org/reb/7568964282.html,"$20,000 ","Nice-sized unimproved lot in Tahitian Village, not in the floodplain, with easy access to Bastrop proper, BSP, and freeways for an easy commute. At a 20k purchase, this is an absolute steal. Empty lots have been a hot commodity in the ending months of 2022, this is your chance to get one!  Contact me today for more information.   If you're a Real Estate Investor wanting more properties that you won't see on the MLS then give me a call! I share over 50 properties a month directly to your email with properties that have instant equity available.     David Puryear Licensed Real Estate Agent show contact info   License # TX 714591 | Brokerage # 9003665  New Western 2201 Donley Dr, Suite 150 Austin, TX 78758  . . . . . . . . . Moving , Moved, Probate, Inherited, Passed Away, Deceased, Executor, Heirs, Death, Code Violation, Code Enforcement, Condemned, Condemnation, Mold, Tear Down, Fire Damaged, Abandoned, Very Motivated, Distressed, Lost Job, Divorce,Bankruptcy, Fire Sale, Health Problems, Health Issues, Must Sell, Liquidation, TLC, Short Sale, Vacant, Motivated, Divorce, Fixer, Fixer-upper, Must sell, Make offer ,Estate, Absentee, Transfer, Transferred, Vacant, Handyman, Bankrupt, Retire, Retired, Retiring, Investor, Investment, Deal, Probate,inherited foreclosure ,short sale, preforeclosure, pre-foreclosure, pre foreclosure, estate, bring, all offers, vandalized, uninsured, junker, must sell , investor special, special warranty deed, quit claim deed ,heir ,heirs ,TLC ,motivated ,fixer ,fixer upper, fixer-upper, deferred maintenance, repairs, as-is, as is, relocation, rented, tenant, do not disturb tenant, owner will carry, owner will carry 2nd , owner finance , owner will finance , personal rep ,personal representative, estate, trustee, basement issues, basement repairs, basement problems ,foundation issues ,foundation repairs ,foundation problems, structural issues, structural repairs, structural problems, no FHA, lease option, engineer report, price change, sell house fast, sell my house fast, sell a house fast, sell your house fast, sell home fast, need to sell house fast, need to sell my house fast, we buy houses, we buy homes, I buy houses, I buy homes, cash home buyers, cash house buyers, fast home buyers, fast house buyers, how to sell house fast, sell house quickly, sell house for cash, buy my house, buy my house fast, sell without a Realtor, sell house without an agent, sell house with tenant, sell house without repairs, sell vacant house, contractors special, handyman special",13 days ago,N/A
